#x;y;rot;heading;speed;rrot;x';y';heading'
1.369;98.983;2.970;2.425;1;20;1.411;99.982;2.475
1.411;99.982;3.000;2.475;1;20;1.454;100.981;2.525
1.454;100.981;3.030;2.525;1;20;1.498;101.980;2.575
1.498;101.980;3.060;2.575;1;20;1.543;102.979;2.626
1.543;102.979;3.090;2.626;1;20;1.589;103.978;2.678
1.589;103.978;3.120;2.678;1;20;1.636;104.977;2.730
1.636;104.977;3.150;2.730;1;20;1.683;105.976;2.782
1.683;105.976;3.180;2.782;1;20;1.732;106.975;2.835
1.732;106.975;3.210;2.835;1;20;1.781;107.973;2.889
1.781;107.973;3.240;2.889;1;20;1.832;108.972;2.943
1.832;108.972;3.270;2.943;1;20;1.883;109.971;2.997
1.883;109.971;3.300;2.997;1;20;1.935;110.969;3.052
1.935;110.969;3.330;3.052;1;20;1.989;111.968;3.108
1.989;111.968;3.360;3.108;1;20;2.043;112.966;3.164
2.043;112.966;3.390;3.164;1;20;2.098;113.965;3.220
2.098;113.965;3.420;3.220;1;20;2.154;114.963;3.277
2.154;114.963;3.450;3.277;1;20;2.211;115.962;3.335
2.211;115.962;3.480;3.335;1;20;2.270;116.960;3.393
2.270;116.960;3.510;3.393;1;20;2.329;117.958;3.451
2.329;117.958;3.540;3.451;1;20;2.389;118.956;3.510
2.389;118.956;3.570;3.510;1;20;2.450;119.955;3.570
2.450;119.955;3.600;3.570;1;20;2.512;120.953;3.630
2.512;120.953;3.630;3.630;1;20;2.576;121.951;3.690
2.576;121.951;3.660;3.690;1;20;2.640;122.949;3.751
2.640;122.949;3.690;3.751;1;20;2.706;123.946;3.813
2.706;123.946;3.720;3.813;1;20;2.772;124.944;3.875
2.772;124.944;3.750;3.875;1;20;2.840;125.942;3.937
2.840;125.942;3.780;3.937;1;20;2.908;126.940;4.000
2.908;126.940;3.810;4.000;1;20;2.978;127.937;4.064
2.978;127.937;3.840;4.064;1;20;3.049;128.935;4.128
3.049;128.935;3.870;4.128;1;20;3.121;129.932;4.192
3.121;129.932;3.900;4.192;1;20;3.194;130.929;4.257
3.194;130.929;3.930;4.257;1;20;3.268;131.927;4.323
3.268;131.927;3.960;4.323;1;20;3.344;132.924;4.389
